game,opponent,round,clock,team,player,event,result,related,jersey
S4-P1,Switzerland,Pool,9:37,LAT,Skreivers,shot1,make,,3
S4-P1,Switzerland,Pool,9:19,LAT,,foul,,,
S4-P1,Switzerland,Pool,9:13,OPP,Harvey-Seutcheu,shot1,make,,67
S4-P1,Switzerland,Pool,8:58,LAT,Bumbieris,shot1,make,,4
S4-P1,Switzerland,Pool,8:49,OPP,Harvey-Seutcheu,shot1,make,,67
S4-P1,Switzerland,Pool,8:37,LAT,Bumbieris,shot1,make,,4
S4-P1,Switzerland,Pool,8:22,OPP,,foul,,,
S4-P1,Switzerland,Pool,7:48,LAT,Zviedris,shot1,make,,2
S4-P1,Switzerland,Pool,7:42,OPP,,foul,,,
S4-P1,Switzerland,Pool,7:20,LAT,Zviedris,shot1,make,,2
S4-P1,Switzerland,Pool,6:54,LAT,Bumbieris,shot1,make,,4
S4-P1,Switzerland,Pool,6:25,OPP,,foul,,,
S4-P1,Switzerland,Pool,6:25,LAT,Zviedris,ft,make,,2
S4-P1,Switzerland,Pool,6:02,LAT,,foul,,,
S4-P1,Switzerland,Pool,5:46,OPP,,foul,,,
S4-P1,Switzerland,Pool,5:31,LAT,Zviedris,shot1,make,,2
S4-P1,Switzerland,Pool,5:19,OPP,Harvey-Seutcheu,shot1,make,,67
S4-P1,Switzerland,Pool,5:11,LAT,Bumbieris,shot1,make,,4
S4-P1,Switzerland,Pool,4:54,OPP,,foul,,,
S4-P1,Switzerland,Pool,4:54,LAT,,ft,miss,,
S4-P1,Switzerland,Pool,4:54,LAT,,ft,miss,,
S4-P1,Switzerland,Pool,4:48,LAT,,foul,,,
S4-P1,Switzerland,Pool,4:48,OPP,Harvey-Seutcheu,ft,make,,67
S4-P1,Switzerland,Pool,4:36,LAT,Skreivers,shot1,make,,3
S4-P1,Switzerland,Pool,4:31,OPP,Maboso,shot1,make,,18
S4-P1,Switzerland,Pool,4:16,LAT,Zviedris,shot2,make,,2
S4-P1,Switzerland,Pool,3:57,LAT,Zviedris,shot1,make,,2
S4-P1,Switzerland,Pool,3:39,LAT,Skreivers,shot1,make,,3
S4-P1,Switzerland,Pool,2:52,LAT,Bumbieris,shot1,make,,4
S4-P1,Switzerland,Pool,2:45,OPP,Ugurtas,shot2,make,,10
S4-P1,Switzerland,Pool,2:39,OPP,,foul,,,
S4-P1,Switzerland,Pool,2:39,LAT,Zviedris,ft,make,,2
S4-P1,Switzerland,Pool,2:39,LAT,Zviedris,ft,make,,2
S4-P1,Switzerland,Pool,2:11,LAT,Karlsons,shot2,make,,5
S4-P1,Switzerland,Pool,1:52,LAT,Skreivers,shot1,make,,3
S4-P1,Switzerland,Pool,1:43,OPP,Ugurtas,shot1,make,,10
S4-P1,Switzerland,Pool,1:03,LAT,Skreivers,shot1,make,,3
