game,opponent,round,clock,team,player,event,result,related,jersey
S4-P2,Poland,Pool,9:39,LAT,Zviedris,shot1,make,,2
S4-P2,Poland,Pool,9:31,OPP,Ponitka,shot1,make,,5
S4-P2,Poland,Pool,9:24,OPP,,foul,,,
S4-P2,Poland,Pool,8:54,LAT,,foul,,,
S4-P2,Poland,Pool,8:54,OPP,Siemianiuk,ft,make,,3
S4-P2,Poland,Pool,8:44,LAT,Karlsons,shot1,make,,5
S4-P2,Poland,Pool,8:16,LAT,Bumbieris,shot1,make,,4
S4-P2,Poland,Pool,8:01,LAT,Zviedris,shot1,make,,2
S4-P2,Poland,Pool,7:34,LAT,,foul,,,
S4-P2,Poland,Pool,7:18,LAT,Zviedris,shot1,make,,2
S4-P2,Poland,Pool,7:07,OPP,,foul,,,
S4-P2,Poland,Pool,7:01,LAT,Karlsons,shot1,make,,5
S4-P2,Poland,Pool,6:49,OPP,,foul,,,
S4-P2,Poland,Pool,6:30,LAT,,foul,,,
S4-P2,Poland,Pool,6:21,LAT,,foul,,,
S4-P2,Poland,Pool,6:21,OPP,Margiciok,ft,make,,12
S4-P2,Poland,Pool,6:05,OPP,Margiciok,shot2,make,,12
S4-P2,Poland,Pool,5:52,LAT,Bumbieris,shot1,make,,4
S4-P2,Poland,Pool,5:34,LAT,Zviedris,shot2,make,,2
S4-P2,Poland,Pool,5:11,LAT,Skreivers,shot1,make,,3
S4-P2,Poland,Pool,4:48,LAT,Karlsons,shot2,make,,5
S4-P2,Poland,Pool,4:28,LAT,Bumbieris,shot1,make,,4
S4-P2,Poland,Pool,4:17,LAT,,foul,,,
S4-P2,Poland,Pool,4:10,OPP,Siemianiuk,shot2,make,,3
S4-P2,Poland,Pool,3:47,LAT,,foul,,,
S4-P2,Poland,Pool,3:40,OPP,Gurtatowski,shot1,make,,6
S4-P2,Poland,Pool,2:40,OPP,,foul,,,
S4-P2,Poland,Pool,2:33,LAT,Zviedris,shot1,make,,2
S4-P2,Poland,Pool,2:11,LAT,Zviedris,shot1,make,,2
S4-P2,Poland,Pool,1:57,LAT,,foul,,,
S4-P2,Poland,Pool,1:51,OPP,Gurtatowski,shot1,make,,6
S4-P2,Poland,Pool,1:41,LAT,Skreivers,shot2,make,,3
S4-P2,Poland,Pool,1:25,OPP,Ponitka,shot1,make,,5
S4-P2,Poland,Pool,0:42,OPP,,foul,,,
S4-P2,Poland,Pool,0:30,LAT,Karlsons,shot1,make,,5
S4-P2,Poland,Pool,0:27,LAT,,foul,,,
S4-P2,Poland,Pool,0:27,OPP,Gurtatowski,ft,make,,6
S4-P2,Poland,Pool,0:27,OPP,Gurtatowski,ft,miss,,6
S4-P2,Poland,Pool,0:07,OPP,,foul,,,
S4-P2,Poland,Pool,0:05,OPP,,foul,,,
S4-P2,Poland,Pool,0:05,LAT,Zviedris,ft,miss,,2
S4-P2,Poland,Pool,0:05,LAT,Zviedris,ft,make,,2
S4-P2,Poland,Pool,0:01,OPP,Siemianiuk,shot2,make,,3
