game,opponent,round,clock,team,player,event,result,related,jersey
S5-F,Serbia,Final,9:53,OPP,Kovačević,shot1,make,,11
S5-F,Serbia,Final,9:44,LAT,Zviedris,shot1,make,,2
S5-F,Serbia,Final,9:41,OPP,,foul,,,
S5-F,Serbia,Final,9:28,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,9:14,LAT,Bumbieris,shot1,make,,4
S5-F,Serbia,Final,9:10,LAT,,foul,,,
S5-F,Serbia,Final,8:26,OPP,Labovic,shot1,make,,7
S5-F,Serbia,Final,8:26,LAT,,foul,,,
S5-F,Serbia,Final,8:26,OPP,,ft,miss,,
S5-F,Serbia,Final,8:23,OPP,,foul,,,
S5-F,Serbia,Final,8:15,OPP,,foul,,,
S5-F,Serbia,Final,8:15,LAT,,ft,miss,,
S5-F,Serbia,Final,7:20,OPP,Dordevic,shot2,make,,4
S5-F,Serbia,Final,7:00,OPP,,foul,,,
S5-F,Serbia,Final,6:52,OPP,,foul,,,
S5-F,Serbia,Final,6:52,OPP,,foul,,,
S5-F,Serbia,Final,6:52,LAT,,foul,,,
S5-F,Serbia,Final,6:52,LAT,Karlsons,ft,make,,5
S5-F,Serbia,Final,6:52,LAT,Karlsons,ft,make,,5
S5-F,Serbia,Final,6:48,LAT,,foul,,,
S5-F,Serbia,Final,6:39,OPP,Kovačević,shot1,make,,11
S5-F,Serbia,Final,6:29,LAT,Zviedris,shot1,make,,2
S5-F,Serbia,Final,6:16,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,6:09,OPP,Kovačević,shot1,make,,11
S5-F,Serbia,Final,5:43,LAT,Karlsons,shot2,make,,5
S5-F,Serbia,Final,5:41,OPP,,foul,,,
S5-F,Serbia,Final,5:41,LAT,,foul,,,
S5-F,Serbia,Final,5:28,OPP,,foul,,,
S5-F,Serbia,Final,5:28,LAT,Skreivers,ft,make,,3
S5-F,Serbia,Final,5:28,LAT,Skreivers,ft,miss,,3
S5-F,Serbia,Final,4:54,LAT,Zviedris,shot1,make,,2
S5-F,Serbia,Final,4:41,OPP,Dordevic,shot1,make,,4
S5-F,Serbia,Final,4:41,LAT,,foul,,,
S5-F,Serbia,Final,4:41,OPP,,ft,miss,,
S5-F,Serbia,Final,3:58,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,3:38,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,3:19,LAT,Karlsons,shot2,make,,5
S5-F,Serbia,Final,2:29,OPP,Dordevic,shot1,make,,4
S5-F,Serbia,Final,1:56,LAT,,foul,,,
S5-F,Serbia,Final,1:56,OPP,Kovačević,ft,miss,,11
S5-F,Serbia,Final,1:56,OPP,Kovačević,ft,make,,11
S5-F,Serbia,Final,1:28,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,1:08,LAT,Skreivers,shot1,make,,3
S5-F,Serbia,Final,0:54,OPP,Dordevic,shot1,make,,4
S5-F,Serbia,Final,0:24,OPP,Dordevic,shot1,make,,4
S5-F,Serbia,Final,0:15,OPP,,foul,,,
S5-F,Serbia,Final,0:15,LAT,Karlsons,ft,make,,5
S5-F,Serbia,Final,0:15,LAT,Karlsons,ft,make,,5
S5-F,Serbia,Final,0:05,LAT,Skreivers,shot1,make,,3
