game,opponent,round,clock,team,player,event,result,related,jersey
S2-F,Serbia,Final,9:25,OPP,,foul,,,
S2-F,Serbia,Final,9:21,OPP,,foul,,,
S2-F,Serbia,Final,9:13,LAT,Bumbieris,shot1,make,,4
S2-F,Serbia,Final,9:05,LAT,,foul,,,
S2-F,Serbia,Final,8:49,OPP,,foul,,,
S2-F,Serbia,Final,8:37,LAT,Bumbieris,shot1,make,,4
S2-F,Serbia,Final,8:33,LAT,,foul,,,
S2-F,Serbia,Final,8:23,LAT,,foul,,,
S2-F,Serbia,Final,8:15,OPP,Labovic,shot2,make,,7
S2-F,Serbia,Final,8:06,LAT,Zviedris,shot1,make,,2
S2-F,Serbia,Final,7:55,OPP,Dordevic,shot1,make,,4
S2-F,Serbia,Final,7:39,LAT,,foul,,,
S2-F,Serbia,Final,7:39,OPP,Labovic,ft,make,,7
S2-F,Serbia,Final,7:30,LAT,Karlsons,shot2,make,,5
S2-F,Serbia,Final,7:24,OPP,,foul,,,
S2-F,Serbia,Final,6:49,LAT,Zviedris,shot1,make,,2
S2-F,Serbia,Final,6:44,LAT,,foul,,,
S2-F,Serbia,Final,6:34,OPP,Topalovic,shot1,make,,13
S2-F,Serbia,Final,6:34,LAT,,foul,,,
S2-F,Serbia,Final,6:34,OPP,Topalovic,ft,make,,13
S2-F,Serbia,Final,6:23,LAT,Bumbieris,shot1,make,,4
S2-F,Serbia,Final,6:14,OPP,Dordevic,shot1,make,,4
S2-F,Serbia,Final,6:04,LAT,,foul,,,
S2-F,Serbia,Final,6:04,OPP,Labovic,ft,miss,,7
S2-F,Serbia,Final,6:04,OPP,Labovic,ft,make,,7
S2-F,Serbia,Final,5:56,OPP,,foul,,,
S2-F,Serbia,Final,5:56,LAT,Skreivers,ft,make,,3
S2-F,Serbia,Final,5:47,OPP,Dordevic,shot2,make,,4
S2-F,Serbia,Final,5:06,OPP,Dordevic,shot2,make,,4
S2-F,Serbia,Final,4:48,OPP,Labovic,shot1,make,,7
S2-F,Serbia,Final,4:17,LAT,Karlsons,shot2,make,,5
S2-F,Serbia,Final,4:07,OPP,Labovic,shot2,make,,7
S2-F,Serbia,Final,4:01,LAT,Karlsons,shot2,make,,5
S2-F,Serbia,Final,3:35,LAT,Skreivers,shot1,make,,3
S2-F,Serbia,Final,3:27,OPP,Topalovic,shot1,make,,13
S2-F,Serbia,Final,3:11,OPP,Dordevic,shot1,make,,4
S2-F,Serbia,Final,2:49,OPP,,foul,,,
S2-F,Serbia,Final,2:31,OPP,Kovačević,shot1,make,,11
S2-F,Serbia,Final,2:30,OPP,,foul,,,
S2-F,Serbia,Final,2:30,LAT,Karlsons,ft,make,,5
S2-F,Serbia,Final,2:19,LAT,Karlsons,shot2,make,,5
S2-F,Serbia,Final,2:10,OPP,Dordevic,shot1,make,,4
S2-F,Serbia,Final,1:50,LAT,,foul,,,
S2-F,Serbia,Final,1:50,OPP,Topalovic,ft,miss,,13
S2-F,Serbia,Final,1:50,OPP,Topalovic,ft,make,,13
S2-F,Serbia,Final,1:27,LAT,,foul,,,
S2-F,Serbia,Final,1:27,OPP,,ft,miss,,
S2-F,Serbia,Final,1:06,OPP,Topalovic,shot2,make,,13
