game,opponent,round,clock,team,player,event,result,related,jersey
S2-P1,Switzerland,Pool,9:25,OPP,Wyttenbach,shot2,make,,19
S2-P1,Switzerland,Pool,9:18,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,8:54,LAT,,foul,,,
S2-P1,Switzerland,Pool,8:54,OPP,Maboso,ft,make,,18
S2-P1,Switzerland,Pool,8:45,LAT,Bumbieris,shot1,make,,4
S2-P1,Switzerland,Pool,8:15,LAT,Zviedris,shot1,make,,2
S2-P1,Switzerland,Pool,8:02,LAT,Karlsons,shot1,make,,5
S2-P1,Switzerland,Pool,7:47,OPP,,foul,,,
S2-P1,Switzerland,Pool,7:47,LAT,,ft,miss,,
S2-P1,Switzerland,Pool,7:33,LAT,,foul,,,
S2-P1,Switzerland,Pool,7:16,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,6:59,OPP,,foul,,,
S2-P1,Switzerland,Pool,6:30,LAT,Zviedris,shot1,make,,2
S2-P1,Switzerland,Pool,6:19,OPP,Maboso,shot2,make,,18
S2-P1,Switzerland,Pool,6:07,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,6:01,OPP,Argenti,shot2,make,,6
S2-P1,Switzerland,Pool,5:31,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,5:16,LAT,Zviedris,shot1,make,,2
S2-P1,Switzerland,Pool,5:06,OPP,,foul,,,
S2-P1,Switzerland,Pool,4:39,LAT,Karlsons,shot1,make,,5
S2-P1,Switzerland,Pool,4:26,OPP,,foul,,,
S2-P1,Switzerland,Pool,4:26,LAT,,ft,miss,,
S2-P1,Switzerland,Pool,4:26,LAT,,ft,miss,,
S2-P1,Switzerland,Pool,4:23,LAT,Karlsons,shot1,make,,5
S2-P1,Switzerland,Pool,3:31,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,3:27,OPP,Picarelli,shot2,make,,0
S2-P1,Switzerland,Pool,3:18,OPP,Wyttenbach,shot1,make,,19
S2-P1,Switzerland,Pool,2:55,LAT,,foul,,,
S2-P1,Switzerland,Pool,2:32,OPP,,foul,,,
S2-P1,Switzerland,Pool,2:15,OPP,,foul,,,
S2-P1,Switzerland,Pool,2:15,LAT,Karlsons,ft,make,,5
S2-P1,Switzerland,Pool,1:44,OPP,Maboso,shot1,make,,18
S2-P1,Switzerland,Pool,1:34,LAT,Skreivers,shot1,make,,3
S2-P1,Switzerland,Pool,1:06,OPP,Wyttenbach,shot1,make,,19
S2-P1,Switzerland,Pool,1:06,LAT,,foul,,,
S2-P1,Switzerland,Pool,1:06,OPP,,ft,miss,,
S2-P1,Switzerland,Pool,0:53,LAT,Karlsons,shot1,make,,5
S2-P1,Switzerland,Pool,0:33,OPP,Maboso,shot1,make,,18
S2-P1,Switzerland,Pool,0:12,LAT,,foul,,,
S2-P1,Switzerland,Pool,0:07,LAT,,foul,,,
