game,opponent,round,clock,team,player,event,result,related,jersey
S1-P2,Romania,Pool,9:51,OPP,Constantinescu,shot1,make,,6
S1-P2,Romania,Pool,9:41,LAT,Skreivers,shot2,make,,3
S1-P2,Romania,Pool,9:31,OPP,Antonescu,shot1,make,,14
S1-P2,Romania,Pool,9:14,OPP,Muresan,shot2,make,,0
S1-P2,Romania,Pool,9:05,LAT,Bumbieris,shot1,make,,4
S1-P2,Romania,Pool,9:02,LAT,,foul,,,
S1-P2,Romania,Pool,8:33,LAT,,foul,,,
S1-P2,Romania,Pool,8:19,OPP,Constantinescu,shot1,make,,6
S1-P2,Romania,Pool,8:19,LAT,,foul,,,
S1-P2,Romania,Pool,8:19,OPP,Constantinescu,ft,make,,6
S1-P2,Romania,Pool,7:54,OPP,,foul,,,
S1-P2,Romania,Pool,7:44,OPP,,foul,,,
S1-P2,Romania,Pool,7:44,LAT,Zviedris,ft,make,,2
S1-P2,Romania,Pool,7:06,OPP,,foul,,,
S1-P2,Romania,Pool,6:46,OPP,Toma,shot1,make,,12
S1-P2,Romania,Pool,6:28,OPP,Constantinescu,shot1,make,,6
S1-P2,Romania,Pool,6:21,OPP,,foul,,,
S1-P2,Romania,Pool,6:17,OPP,,foul,,,
S1-P2,Romania,Pool,5:58,OPP,,foul,,,
S1-P2,Romania,Pool,5:48,LAT,Skreivers,shot1,make,,3
S1-P2,Romania,Pool,5:42,LAT,,foul,,,
S1-P2,Romania,Pool,5:35,OPP,Antonescu,shot2,make,,14
S1-P2,Romania,Pool,5:28,LAT,Zviedris,shot1,make,,2
S1-P2,Romania,Pool,4:56,LAT,Zviedris,shot1,make,,2
S1-P2,Romania,Pool,4:47,OPP,Antonescu,shot2,make,,14
S1-P2,Romania,Pool,4:13,LAT,Bumbieris,shot2,make,,4
S1-P2,Romania,Pool,4:09,LAT,,foul,,,
S1-P2,Romania,Pool,4:09,OPP,Muresan,ft,make,,0
S1-P2,Romania,Pool,3:40,OPP,,foul,,,
S1-P2,Romania,Pool,3:40,LAT,Karlsons,ft,make,,5
S1-P2,Romania,Pool,3:40,LAT,Karlsons,ft,make,,5
S1-P2,Romania,Pool,3:28,LAT,Karlsons,shot2,make,,5
S1-P2,Romania,Pool,2:56,LAT,,foul,,,
S1-P2,Romania,Pool,2:48,OPP,Toma,shot1,make,,12
S1-P2,Romania,Pool,2:41,LAT,Bumbieris,shot1,make,,4
S1-P2,Romania,Pool,2:34,LAT,,foul,,,
S1-P2,Romania,Pool,2:34,OPP,Antonescu,ft,make,,14
S1-P2,Romania,Pool,2:34,OPP,Antonescu,ft,miss,,14
S1-P2,Romania,Pool,2:02,LAT,,foul,,,
S1-P2,Romania,Pool,2:02,OPP,Antonescu,ft,make,,14
S1-P2,Romania,Pool,2:02,OPP,Antonescu,ft,miss,,14
S1-P2,Romania,Pool,1:51,OPP,,foul,,,
S1-P2,Romania,Pool,1:51,LAT,Skreivers,ft,make,,3
S1-P2,Romania,Pool,1:51,LAT,Skreivers,ft,miss,,3
S1-P2,Romania,Pool,1:41,OPP,Constantinescu,shot1,make,,6
S1-P2,Romania,Pool,1:23,LAT,Karlsons,shot1,make,,5
S1-P2,Romania,Pool,1:07,LAT,Zviedris,shot1,make,,2
S1-P2,Romania,Pool,0:49,LAT,Zviedris,shot1,make,,2
S1-P2,Romania,Pool,0:32,LAT,Skreivers,shot1,make,,3
S1-P2,Romania,Pool,0:24,OPP,Toma,shot1,make,,12
S1-P2,Romania,Pool,0:16,OPP,,foul,,,
S1-P2,Romania,Pool,0:16,LAT,Bumbieris,ft,miss,,4
S1-P2,Romania,Pool,0:16,LAT,Bumbieris,ft,make,,4
S1-P2,Romania,Pool,0:07,OPP,,foul,,,
S1-P2,Romania,Pool,0:07,LAT,Bumbieris,ft,miss,,4
S1-P2,Romania,Pool,0:07,LAT,Bumbieris,ft,make,,4
