game,opponent,round,clock,team,player,event,result,related,jersey
S4-F,Serbia,Final,9:03,OPP,,foul,,,
S4-F,Serbia,Final,8:52,LAT,Karlsons,shot1,make,,5
S4-F,Serbia,Final,8:47,OPP,Kovačević,shot1,make,,11
S4-F,Serbia,Final,8:12,LAT,,foul,,,
S4-F,Serbia,Final,8:12,OPP,Arsovic,ft,make,,27
S4-F,Serbia,Final,7:55,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,7:53,OPP,,foul,,,
S4-F,Serbia,Final,7:43,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,7:33,LAT,,foul,,,
S4-F,Serbia,Final,7:28,OPP,Topalovic,shot1,make,,13
S4-F,Serbia,Final,7:20,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,6:54,LAT,,foul,,,
S4-F,Serbia,Final,6:48,LAT,,foul,,,
S4-F,Serbia,Final,6:38,OPP,Topalovic,shot1,make,,13
S4-F,Serbia,Final,6:27,OPP,,foul,,,
S4-F,Serbia,Final,6:27,LAT,,ft,miss,,
S4-F,Serbia,Final,6:16,LAT,,foul,,,
S4-F,Serbia,Final,6:06,OPP,Kovačević,shot1,make,,11
S4-F,Serbia,Final,5:58,OPP,Kovačević,shot1,make,,11
S4-F,Serbia,Final,5:49,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,5:30,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,5:27,LAT,,foul,,,
S4-F,Serbia,Final,5:07,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,4:56,OPP,Arsovic,shot1,make,,27
S4-F,Serbia,Final,4:46,LAT,Karlsons,shot1,make,,5
S4-F,Serbia,Final,4:35,OPP,Arsovic,shot1,make,,27
S4-F,Serbia,Final,4:24,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,4:10,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,3:54,OPP,Arsovic,shot2,make,,27
S4-F,Serbia,Final,3:43,LAT,Bumbieris,shot1,make,,4
S4-F,Serbia,Final,3:31,LAT,,foul,,,
S4-F,Serbia,Final,3:31,OPP,Arsovic,ft,make,,27
S4-F,Serbia,Final,3:31,OPP,Arsovic,ft,miss,,27
S4-F,Serbia,Final,3:18,LAT,Karlsons,shot1,make,,5
S4-F,Serbia,Final,3:14,LAT,,foul,,,
S4-F,Serbia,Final,3:14,OPP,Kovačević,ft,miss,,11
S4-F,Serbia,Final,3:14,OPP,Kovačević,ft,make,,11
S4-F,Serbia,Final,3:07,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,3:07,OPP,,foul,,,
S4-F,Serbia,Final,3:07,LAT,,ft,miss,,
S4-F,Serbia,Final,3:03,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,2:51,OPP,Topalovic,shot1,make,,13
S4-F,Serbia,Final,2:41,LAT,Karlsons,shot2,make,,5
S4-F,Serbia,Final,2:33,LAT,Zviedris,shot1,make,,2
S4-F,Serbia,Final,2:22,OPP,Dordevic,shot2,make,,4
S4-F,Serbia,Final,2:20,OPP,,foul,,,
S4-F,Serbia,Final,2:20,LAT,,foul,,,
S4-F,Serbia,Final,2:20,OPP,Arsovic,ft,make,,27
S4-F,Serbia,Final,2:06,OPP,,foul,,,
S4-F,Serbia,Final,1:57,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,1:04,OPP,Arsovic,shot1,make,,27
S4-F,Serbia,Final,0:55,LAT,Skreivers,shot1,make,,3
S4-F,Serbia,Final,0:38,LAT,Zviedris,shot2,make,,2
