game,opponent,round,clock,team,player,event,result,related,jersey
S3-P1,Ukraine,Pool,9:16,LAT,Karlsons,shot1,make,,5
S3-P1,Ukraine,Pool,9:08,OPP,Zaitsev,shot1,make,,1
S3-P1,Ukraine,Pool,9:01,OPP,,foul,,,
S3-P1,Ukraine,Pool,8:33,OPP,Karpiuk,shot1,make,,6
S3-P1,Ukraine,Pool,8:26,OPP,,foul,,,
S3-P1,Ukraine,Pool,8:10,OPP,Koshevatskyi,shot2,make,,3
S3-P1,Ukraine,Pool,7:31,OPP,Koshevatskyi,shot1,make,,3
S3-P1,Ukraine,Pool,7:14,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,7:09,LAT,,foul,,,
S3-P1,Ukraine,Pool,7:04,LAT,,foul,,,
S3-P1,Ukraine,Pool,7:04,OPP,Koshevatskyi,ft,make,,3
S3-P1,Ukraine,Pool,6:55,LAT,Zviedris,shot1,make,,2
S3-P1,Ukraine,Pool,6:23,LAT,Karlsons,shot2,make,,5
S3-P1,Ukraine,Pool,6:15,LAT,,foul,,,
S3-P1,Ukraine,Pool,6:01,OPP,Karpiuk,shot1,make,,6
S3-P1,Ukraine,Pool,5:54,LAT,,foul,,,
S3-P1,Ukraine,Pool,5:43,OPP,Karpiuk,shot1,make,,6
S3-P1,Ukraine,Pool,5:37,OPP,,foul,,,
S3-P1,Ukraine,Pool,5:35,OPP,,foul,,,
S3-P1,Ukraine,Pool,5:19,OPP,Diupin,shot1,make,,4
S3-P1,Ukraine,Pool,5:02,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,4:33,OPP,Karpiuk,shot1,make,,6
S3-P1,Ukraine,Pool,4:15,LAT,,foul,,,
S3-P1,Ukraine,Pool,3:57,OPP,Koshevatskyi,shot1,make,,3
S3-P1,Ukraine,Pool,3:12,OPP,Koshevatskyi,shot1,make,,3
S3-P1,Ukraine,Pool,3:04,OPP,,foul,,,
S3-P1,Ukraine,Pool,2:44,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,2:32,LAT,Karlsons,shot2,make,,5
S3-P1,Ukraine,Pool,2:22,OPP,Zaitsev,shot1,make,,1
S3-P1,Ukraine,Pool,2:01,OPP,Koshevatskyi,shot1,make,,3
S3-P1,Ukraine,Pool,1:57,OPP,,foul,,,
S3-P1,Ukraine,Pool,1:50,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,1:48,LAT,,foul,,,
S3-P1,Ukraine,Pool,1:48,OPP,,ft,miss,,
S3-P1,Ukraine,Pool,1:39,OPP,,foul,,,
S3-P1,Ukraine,Pool,1:39,LAT,Karlsons,ft,make,,5
S3-P1,Ukraine,Pool,1:39,LAT,Karlsons,ft,make,,5
S3-P1,Ukraine,Pool,1:16,OPP,Karpiuk,shot1,make,,6
S3-P1,Ukraine,Pool,1:08,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,0:47,LAT,Zviedris,shot1,make,,2
S3-P1,Ukraine,Pool,0:28,LAT,Bumbieris,shot1,make,,4
S3-P1,Ukraine,Pool,0:00,LAT,Skreivers,shot1,make,,3
S3-P1,Ukraine,Pool,0:00,OPP,Koshevatskyi,shot2,make,,3
