game,opponent,round,clock,team,player,event,result,related,jersey
S2-P2,Poland,Pool,9:41,OPP,Ponitka,shot1,make,,5
S2-P2,Poland,Pool,9:28,OPP,Gurtatowski,shot1,make,,6
S2-P2,Poland,Pool,9:14,OPP,,foul,,,
S2-P2,Poland,Pool,9:06,LAT,Karlsons,shot2,make,,5
S2-P2,Poland,Pool,8:33,OPP,Margiciok,shot1,make,,12
S2-P2,Poland,Pool,8:19,LAT,,foul,,,
S2-P2,Poland,Pool,8:00,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,7:55,LAT,,foul,,,
S2-P2,Poland,Pool,7:34,LAT,,foul,,,
S2-P2,Poland,Pool,7:30,OPP,Margiciok,shot1,make,,12
S2-P2,Poland,Pool,7:23,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,7:23,OPP,,foul,,,
S2-P2,Poland,Pool,7:23,LAT,Zviedris,ft,make,,2
S2-P2,Poland,Pool,7:17,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,7:06,OPP,Gurtatowski,shot1,make,,6
S2-P2,Poland,Pool,7:01,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,6:57,OPP,Margiciok,shot2,make,,12
S2-P2,Poland,Pool,6:51,OPP,Ponitka,shot1,make,,5
S2-P2,Poland,Pool,6:46,OPP,,foul,,,
S2-P2,Poland,Pool,5:28,OPP,,foul,,,
S2-P2,Poland,Pool,5:05,OPP,Margiciok,shot1,make,,12
S2-P2,Poland,Pool,5:05,LAT,,foul,,,
S2-P2,Poland,Pool,5:05,OPP,Margiciok,ft,make,,12
S2-P2,Poland,Pool,4:54,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,4:43,LAT,,foul,,,
S2-P2,Poland,Pool,4:32,OPP,,foul,,,
S2-P2,Poland,Pool,4:22,LAT,Skreivers,shot1,make,,3
S2-P2,Poland,Pool,4:08,OPP,Ponitka,shot1,make,,5
S2-P2,Poland,Pool,4:02,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,3:55,OPP,Ponitka,shot1,make,,5
S2-P2,Poland,Pool,3:51,OPP,,foul,,,
S2-P2,Poland,Pool,3:41,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,3:37,OPP,,foul,,,
S2-P2,Poland,Pool,3:30,LAT,Karlsons,shot2,make,,5
S2-P2,Poland,Pool,3:09,LAT,Bumbieris,shot1,make,,4
S2-P2,Poland,Pool,3:02,LAT,,foul,,,
S2-P2,Poland,Pool,2:25,OPP,,foul,,,
S2-P2,Poland,Pool,2:25,LAT,Bumbieris,ft,make,,4
S2-P2,Poland,Pool,2:25,LAT,Bumbieris,ft,make,,4
S2-P2,Poland,Pool,2:11,OPP,Ponitka,shot1,make,,5
S2-P2,Poland,Pool,2:01,LAT,,foul,,,
S2-P2,Poland,Pool,2:01,OPP,Gurtatowski,ft,make,,6
S2-P2,Poland,Pool,2:01,OPP,Gurtatowski,ft,miss,,6
S2-P2,Poland,Pool,1:50,LAT,Skreivers,shot1,make,,3
S2-P2,Poland,Pool,1:40,OPP,Gurtatowski,shot1,make,,6
S2-P2,Poland,Pool,1:29,LAT,Zviedris,shot1,make,,2
S2-P2,Poland,Pool,1:09,OPP,Margiciok,shot1,make,,12
S2-P2,Poland,Pool,0:49,LAT,Bumbieris,shot1,make,,4
S2-P2,Poland,Pool,0:38,OPP,Margiciok,shot2,make,,12
S2-P2,Poland,Pool,0:32,LAT,Skreivers,shot1,make,,3
