game,opponent,round,clock,team,player,event,result,related,jersey
S1-P1,Ukraine,Pool,9:40,LAT,Skreivers,shot1,make,,3
S1-P1,Ukraine,Pool,9:31,OPP,Karpiuk,shot1,make,,6
S1-P1,Ukraine,Pool,9:14,OPP,,foul,,,
S1-P1,Ukraine,Pool,8:46,OPP,Koshevatskyi,shot1,make,,3
S1-P1,Ukraine,Pool,8:14,LAT,Zviedris,shot1,make,,2
S1-P1,Ukraine,Pool,7:50,OPP,,foul,,,
S1-P1,Ukraine,Pool,7:42,OPP,,foul,,,
S1-P1,Ukraine,Pool,7:42,LAT,Bumbieris,ft,miss,,4
S1-P1,Ukraine,Pool,7:42,LAT,Bumbieris,ft,make,,4
S1-P1,Ukraine,Pool,7:22,LAT,Skreivers,shot1,make,,3
S1-P1,Ukraine,Pool,7:16,LAT,,foul,,,
S1-P1,Ukraine,Pool,7:09,LAT,Zviedris,shot1,make,,2
S1-P1,Ukraine,Pool,7:06,LAT,,foul,,,
S1-P1,Ukraine,Pool,6:59,LAT,,foul,,,
S1-P1,Ukraine,Pool,6:43,LAT,Zviedris,shot2,make,,2
S1-P1,Ukraine,Pool,6:23,LAT,Skreivers,shot1,make,,3
S1-P1,Ukraine,Pool,6:06,LAT,Karlsons,shot1,make,,5
S1-P1,Ukraine,Pool,5:59,OPP,Karpiuk,shot1,make,,6
S1-P1,Ukraine,Pool,5:54,OPP,,foul,,,
S1-P1,Ukraine,Pool,5:47,LAT,Skreivers,shot1,make,,3
S1-P1,Ukraine,Pool,5:19,OPP,Karpiuk,shot1,make,,6
S1-P1,Ukraine,Pool,4:43,LAT,,foul,,,
S1-P1,Ukraine,Pool,4:33,OPP,Karpiuk,shot1,make,,6
S1-P1,Ukraine,Pool,3:55,LAT,Skreivers,shot1,make,,3
S1-P1,Ukraine,Pool,3:37,LAT,Skreivers,shot2,make,,3
S1-P1,Ukraine,Pool,3:23,OPP,Karpiuk,shot1,make,,6
S1-P1,Ukraine,Pool,3:00,OPP,Zaitsev,shot1,make,,1
S1-P1,Ukraine,Pool,2:46,OPP,,foul,,,
S1-P1,Ukraine,Pool,2:46,LAT,,ft,miss,,
S1-P1,Ukraine,Pool,2:33,LAT,Zviedris,shot2,make,,2
S1-P1,Ukraine,Pool,2:25,OPP,Zaitsev,shot1,make,,1
S1-P1,Ukraine,Pool,2:14,LAT,Karlsons,shot2,make,,5
S1-P1,Ukraine,Pool,1:57,OPP,Koshevatskyi,shot1,make,,3
S1-P1,Ukraine,Pool,1:53,OPP,Koshevatskyi,shot1,make,,3
S1-P1,Ukraine,Pool,1:37,LAT,Zviedris,shot1,make,,2
S1-P1,Ukraine,Pool,1:37,OPP,,foul,,,
S1-P1,Ukraine,Pool,1:37,LAT,Zviedris,ft,make,,2
S1-P1,Ukraine,Pool,1:37,LAT,Karlsons,shot2,make,,5
