game,opponent,round,clock,team,player,event,result,related,jersey
S5-P2,Romania,Pool,9:50,OPP,Antonescu,shot1,make,,14
S5-P2,Romania,Pool,9:29,OPP,,foul,,,
S5-P2,Romania,Pool,9:23,LAT,Karlsons,shot1,make,,5
S5-P2,Romania,Pool,9:13,OPP,Coveanu,shot1,make,,1
S5-P2,Romania,Pool,9:13,LAT,,foul,,,
S5-P2,Romania,Pool,9:13,OPP,,ft,miss,,
S5-P2,Romania,Pool,9:11,OPP,Constantinescu,shot1,make,,6
S5-P2,Romania,Pool,8:59,OPP,,foul,,,
S5-P2,Romania,Pool,8:59,LAT,Skreivers,ft,make,,3
S5-P2,Romania,Pool,8:42,OPP,Antonescu,shot1,make,,14
S5-P2,Romania,Pool,8:18,OPP,Antonescu,shot1,make,,14
S5-P2,Romania,Pool,8:11,OPP,Constantinescu,shot1,make,,6
S5-P2,Romania,Pool,7:51,OPP,Somcutean,shot2,make,,21
S5-P2,Romania,Pool,7:39,LAT,Karlsons,shot2,make,,5
S5-P2,Romania,Pool,7:28,OPP,Constantinescu,shot1,make,,6
S5-P2,Romania,Pool,7:22,LAT,Skreivers,shot1,make,,3
S5-P2,Romania,Pool,7:13,LAT,,foul,,,
S5-P2,Romania,Pool,7:07,OPP,Antonescu,shot1,make,,14
S5-P2,Romania,Pool,6:38,LAT,Skreivers,shot1,make,,3
S5-P2,Romania,Pool,6:29,LAT,,foul,,,
S5-P2,Romania,Pool,6:29,OPP,,ft,miss,,
S5-P2,Romania,Pool,6:29,OPP,,foul,,,
S5-P2,Romania,Pool,6:17,LAT,Zviedris,shot1,make,,2
S5-P2,Romania,Pool,5:59,LAT,Karlsons,shot2,make,,5
S5-P2,Romania,Pool,5:43,LAT,Karlsons,shot1,make,,5
S5-P2,Romania,Pool,5:29,OPP,,foul,,,
S5-P2,Romania,Pool,5:23,OPP,,foul,,,
S5-P2,Romania,Pool,5:23,LAT,,ft,miss,,
S5-P2,Romania,Pool,5:11,OPP,,foul,,,
S5-P2,Romania,Pool,4:43,OPP,,foul,,,
S5-P2,Romania,Pool,4:43,LAT,Bumbieris,ft,miss,,4
S5-P2,Romania,Pool,4:43,LAT,Bumbieris,ft,make,,4
S5-P2,Romania,Pool,4:32,LAT,,foul,,,
S5-P2,Romania,Pool,4:32,OPP,Coveanu,ft,make,,1
S5-P2,Romania,Pool,4:32,OPP,Coveanu,ft,make,,1
S5-P2,Romania,Pool,3:37,LAT,Karlsons,shot1,make,,5
S5-P2,Romania,Pool,2:57,OPP,,foul,,,
S5-P2,Romania,Pool,2:57,LAT,Karlsons,ft,make,,5
S5-P2,Romania,Pool,2:57,LAT,Karlsons,ft,make,,5
S5-P2,Romania,Pool,2:53,LAT,,foul,,,
S5-P2,Romania,Pool,2:40,OPP,Constantinescu,shot1,make,,6
S5-P2,Romania,Pool,2:40,LAT,,foul,,,
S5-P2,Romania,Pool,2:40,OPP,,ft,miss,,
S5-P2,Romania,Pool,2:32,OPP,,foul,,,
S5-P2,Romania,Pool,2:32,LAT,Karlsons,ft,make,,5
S5-P2,Romania,Pool,2:32,LAT,Karlsons,ft,make,,5
S5-P2,Romania,Pool,2:28,LAT,,foul,,,
S5-P2,Romania,Pool,2:28,OPP,,ft,miss,,
S5-P2,Romania,Pool,2:28,OPP,,ft,miss,,
S5-P2,Romania,Pool,2:12,LAT,Skreivers,shot1,make,,3
S5-P2,Romania,Pool,1:46,LAT,Zviedris,shot1,make,,2
S5-P2,Romania,Pool,0:45,LAT,Skreivers,shot1,make,,3
S5-P2,Romania,Pool,0:21,LAT,Bumbieris,shot1,make,,4
S5-P2,Romania,Pool,0:09,OPP,,foul,,,
S5-P2,Romania,Pool,0:09,LAT,Karlsons,ft,make,,5
