game,opponent,round,clock,team,player,event,result,related
S1-P1,Ukraine,Pool,3:00,OPP,Zaitsev,shot1,make,
S1-P1,Ukraine,Pool,2:59,LAT,Bumbieris,bench,,
S1-P1,Ukraine,Pool,2:48,LAT,Skreivers,shot1,miss,
S1-P1,Ukraine,Pool,2:47,LAT,Zviedris,shot1,miss,
S1-P1,Ukraine,Pool,2:47,LAT,Zviedris,fould,,
S1-P1,Ukraine,Pool,2:46,OPP,,foul,,
S1-P1,Ukraine,Pool,2:46,LAT,,ft,miss,
S1-P1,Ukraine,Pool,2:46,LAT,Zviedris,oreb,,
S1-P1,Ukraine,Pool,2:33,LAT,Zviedris,shot2,make,Skreivers
S1-P1,Ukraine,Pool,2:25,OPP,Zaitsev,shot1,make,Zviedris
S1-P1,Ukraine,Pool,2:14,LAT,Karlsons,shot2,make,
S1-P1,Ukraine,Pool,2:10,OPP,Koshevatskyi,shot2,miss,Skreivers
S1-P1,Ukraine,Pool,2:06,LAT,Karlsons,to,,
S1-P1,Ukraine,Pool,1:53,OPP,Koshevatskyi,shot1,make,Zviedris
S1-P1,Ukraine,Pool,1:37,LAT,Zviedris,shot1,make,
S1-P1,Ukraine,Pool,1:37,OPP,,foul,,
S1-P1,Ukraine,Pool,1:37,LAT,Zviedris,ft,make,
S1-P1,Ukraine,Pool,1:37,LAT,Skreivers,bench,,
S1-P1,Ukraine,Pool,1:37,LAT,Zviedris,fould,,
S1-P1,Ukraine,Pool,1:36,LAT,Karlsons,shot2,make,
S1-P1,Ukraine,Pool,1:34,OPP,Karpiuk,shot1,make,Zviedris
S1-P1,Ukraine,Pool,1:32,OPP,Koshevatskyi,shot2,miss,Zviedris
S1-P1,Ukraine,Pool,1:31,LAT,Bumbieris,dreb,,
