game,opponent,round,clock,team,player,event,result,related
S1-P2,Romania,Pool,2:34,OPP,Antonescu,ft,make,
S1-P2,Romania,Pool,2:34,OPP,Antonescu,ft,miss,
S1-P2,Romania,Pool,2:34,LAT,Zviedris,bench,,
S1-P2,Romania,Pool,2:24,LAT,Skreivers,to,,
S1-P2,Romania,Pool,2:20,LAT,Bumbieris,bench,,
S1-P2,Romania,Pool,2:18,OPP,Constantinescu,shot1,miss,Zviedris
S1-P2,Romania,Pool,2:06,OPP,Toma,shot2,miss,Karlsons
S1-P2,Romania,Pool,2:02,LAT,Skreivers,foul,,
S1-P2,Romania,Pool,2:02,OPP,Antonescu,ft,make,
S1-P2,Romania,Pool,2:02,OPP,Antonescu,ft,miss,
S1-P2,Romania,Pool,1:52,LAT,Skreivers,shot1,miss,
S1-P2,Romania,Pool,1:52,LAT,Skreivers,oreb,,
S1-P2,Romania,Pool,1:52,LAT,Skreivers,fould,,
S1-P2,Romania,Pool,1:52,LAT,Karlsons,bench,,
S1-P2,Romania,Pool,1:51,OPP,,foul,,
S1-P2,Romania,Pool,1:51,LAT,Skreivers,ft,make,
S1-P2,Romania,Pool,1:51,LAT,Skreivers,ft,miss,
S1-P2,Romania,Pool,1:41,OPP,Constantinescu,shot1,make,Skreivers
S1-P2,Romania,Pool,1:41,LAT,Skreivers,to,,
S1-P2,Romania,Pool,1:41,LAT,Skreivers,bench,,
S1-P2,Romania,Pool,1:23,LAT,Karlsons,shot1,make,
S1-P2,Romania,Pool,1:13,OPP,Constantinescu,shot1,miss,Bumbieris
S1-P2,Romania,Pool,1:13,LAT,Karlsons,dreb,,
S1-P2,Romania,Pool,1:07,LAT,Zviedris,shot1,make,Karlsons
S1-P2,Romania,Pool,0:59,LAT,Karlsons,bench,,
S1-P2,Romania,Pool,0:49,LAT,Zviedris,shot1,make,
S1-P2,Romania,Pool,0:40,OPP,Constantinescu,shot1,miss,Zviedris
S1-P2,Romania,Pool,0:35,LAT,Zviedris,bench,,
S1-P2,Romania,Pool,0:32,LAT,Skreivers,shot1,make,
S1-P2,Romania,Pool,0:24,OPP,Toma,shot1,make,Skreivers
S1-P2,Romania,Pool,0:16,OPP,,foul,,
S1-P2,Romania,Pool,0:16,LAT,Bumbieris,ft,miss,
S1-P2,Romania,Pool,0:16,LAT,Bumbieris,ft,make,
S1-P2,Romania,Pool,0:08,OPP,Antonescu,shot2,miss,Skreivers
S1-P2,Romania,Pool,0:08,LAT,Bumbieris,dreb,,
S1-P2,Romania,Pool,0:07,OPP,,foul,,
S1-P2,Romania,Pool,0:07,LAT,Bumbieris,ft,miss,
S1-P2,Romania,Pool,0:07,LAT,Bumbieris,ft,make,
